time,low,high,open,close,volume
1500591600,216,227.53,221.92,226.06,38860.22357622922
1500588000,221.3,228.48,228.23,221.9,17884.238196090002
1500584400,225.41,229.29,229.29,228.37,18048.74563359005
1500580800,225.82,232.3,226.59,229.3,30781.54239421005
1500577200,224.39,229.45,226.76,226.59,17577.65885993002
1500573600,217.7,227.95,223.58,226.77,33757.74462790011
1500570000,223.19,228,225.42,223.58,13927.783172910054
1500566400,225.4,230.78,228.27,226,21253.05626311014
1500562800,226.44,234.53,227.06,228.27,28216.910875070025
1500559200,225,237,233.85,227,42939.65573897005
1500555600,221.25,233.85,224.39,233.85,41857.89850528982
1500552000,218.87,232,224.3,224.46,46524.77815701982
1500548400,210.11,225,210.11,224.3,26511.076357340055
1500544800,206.99,213.54,206.99,210.36,12546.151982140142
1500541200,203.01,208.72,207.66,207,6019.282259140116
1500537600,203.17,208.16,204.64,207.68,7297.946252920107
1500534000,201.7,207.34,204.68,204.99,11618.724059790136
1500530400,203.8,211.11,210.69,204.68,11437.645213760221
1500526800,203.64,211.95,208.15,210.64,20797.70084867984
1500523200,207,216,211.01,208.15,21252.289191540283
1500519600,210.67,219.46,217.7,211.01,31544.80035201047
1500516000,204.69,219.7,207.99,217.58,44555.189922347694
1500512400,201,208.99,206.99,207.99,29195.592110250513
1500508800,194.74,209.14,194.74,207,42178.43617051938
