time,low,high,open,close,volume
1480806000,7.86,7.98,7.94,7.86,3064.2330467700026
1480802400,7.91,8.02,7.97,7.93,1170.63614469
1480798800,7.93,8.07,7.93,7.96,1257.73475993
1480795200,7.83,8.07,7.87,7.91,4478.777913800003
1480791600,7.81,7.87,7.83,7.87,1354.5275799999995
1480788000,7.75,7.87,7.86,7.83,1453.24949995
1480784400,7.79,8,7.91,7.83,3492.84577807
1480780800,7.78,7.96,7.94,7.92,2747.9432514100004
1480777200,7.73,7.95,7.76,7.9,2891.8908123800034
1480773600,7.71,7.81,7.72,7.76,1250.5534099999998
1480770000,7.7,7.82,7.7,7.7,1331.2710968299998
1480766400,7.67,7.83,7.83,7.7,1029.5103746000002
1480762800,7.72,7.93,7.91,7.86,8817.871924320003
1480759200,7.9,7.98,7.98,7.91,582.0048679499998
1480755600,7.92,8.02,8.02,7.99,516.89190611
1480752000,8,8.05,8.03,8.02,385.0298923700001
1480748400,7.81,8.12,8.1,8.02,2882.032291030002
1480744800,8,8.11,8,8.11,698.2264820899998
1480741200,7.92,8,7.95,8,1044.6266524799998
1480737600,7.85,7.99,7.85,7.93,2245.2811882800006
1480734000,7.74,7.85,7.74,7.85,4228.300082600004
1480730400,7.55,7.77,7.76,7.77,2250.063286
1480726800,7.34,7.91,7.82,7.76,5291.202872270002
1480723200,7.69,7.93,7.73,7.83,3436.5723480599977
