time,low,high,open,close,volume
1473375600,11.37,11.45,11.45,11.39,476.625877
1473372000,11.39,11.44,11.41,11.44,457.1371198200001
1473368400,11.39,11.42,11.41,11.41,1304.0646253999998
1473364800,11.38,11.44,11.43,11.4,1564.530068999999
1473361200,11.42,11.5,11.47,11.43,1041.0095379999998
1473357600,11.4,11.5,11.42,11.45,1049.745489
1473354000,11.33,11.43,11.34,11.43,2090.306056
1473350400,11.31,11.38,11.38,11.34,2679.628107000001
1473346800,11.33,11.42,11.42,11.33,1025.8839560000001
1473343200,11.36,11.48,11.45,11.44,3466.8214796599996
1473339600,11.33,11.45,11.37,11.45,1784.2530400000007
1473336000,11.31,11.44,11.41,11.34,3264.2981715700007
1473332400,11.4,11.53,11.53,11.45,695.6615554200001
1473328800,11.45,11.61,11.51,11.54,973.7613079999995
1473325200,11.44,11.57,11.57,11.56,3837.971373939999
1473321600,11.53,11.7,11.66,11.53,2176.3023902000014
1473318000,11.63,11.66,11.64,11.66,335.00847200000004
1473314400,11.63,11.65,11.64,11.65,179.02480799999995
1473310800,11.58,11.64,11.6,11.64,281.382078
1473307200,11.57,11.62,11.6,11.62,167.89019000000005
1473303600,11.57,11.61,11.58,11.61,352.1139762100001
1473300000,11.52,11.64,11.6,11.61,1679.1543299999996
1473296400,11.57,11.62,11.6,11.59,303.8702250000001
1473292800,11.54,11.61,11.55,11.57,726.1372
