time,low,high,open,close,volume
1502492400,306.99,310,307.98,309.65,18138.240629000036
1502488800,300.44,307.99,301.2,307.99,10885.484976340029
1502485200,300.74,301.99,300.75,301.2,5211.808469980013
1502481600,299.5,300.75,299.7,300.75,3545.0420708999964
1502478000,299.5,302.25,301.98,299.7,5417.080240560025
1502474400,301.67,303.4,303.37,301.99,4422.757474450025
1502470800,301.45,303.44,303.36,303.37,4408.425809210018
1502467200,298.16,303.98,298.16,303.37,8321.857697690057
1502463600,298,299.49,298,298.16,4054.8154039700203
1502460000,295.79,299.54,299.3,298,13197.733169370062
1502456400,299,300,299.52,299.3,5319.719575259996
1502452800,299.53,301.17,300.94,299.53,5120.25858988003
1502449200,299.08,301.2,300.65,300.96,3369.615070190021
1502445600,300.65,302.11,301.36,300.66,2256.525856470004
1502442000,301.08,301.94,301.52,301.36,1482.761036249997
1502438400,300.84,301.7,301.7,301.52,1649.2604940700016
1502434800,300.65,302.35,302.35,301.7,3210.5663582900206
1502431200,302.34,303.99,303.62,302.35,2242.8668358900027
1502427600,302.03,304,302.03,303.72,4070.4402532600106
1502424000,302,303.43,303.43,302.03,2367.067407740006
1502420400,302.52,303.99,302.8,303.34,3998.397107810001
1502416800,299.5,304,299.84,302.8,6566.7668826000545
1502413200,298.01,300.68,299.42,299.84,4847.593734720061
1502409600,298.5,301.59,300.51,299.43,7418.822820720053
