time,low,high,open,close,volume
1493420400,70.88,74.9,70.94,73.14,39368.604461209376
1493416800,69.71,71.3,71.24,71,18536.04312069006
1493413200,69.01,71.63,69.47,71.29,42945.20652843988
1493409600,67.4,69.67,67.6,69.5,18498.583490300036
1493406000,66.58,67.69,67.25,67.52,8864.73565148
1493402400,66.88,67.78,67.49,67.23,10542.598688800046
1493398800,66.3,67.83,67.7,67.49,17029.38973565004
1493395200,66.11,68.4,66.23,67.7,21513.011014309977
1493391600,65.75,66.8,66.56,66.18,9737.158775410022
1493388000,65.57,66.93,66.57,66.59,10033.352196030024
1493384400,65.13,67.13,65.19,66.54,12455.467948939971
1493380800,64.5,65.49,64.68,65.26,8376.904931420011
1493377200,62.5,65.66,62.9,64.99,17416.038944360025
1493373600,62.5,66.43,66.43,62.51,18744.296597529887
1493370000,66.25,67.73,67.29,66.25,5433.428576629988
1493366400,66.91,68.77,68.63,67.29,7693.672541350003
1493362800,67.17,68.84,68.77,68.62,10903.632849340016
1493359200,67.51,69.24,67.63,68.78,16084.99902797001
1493355600,67.17,69.04,68.6,67.81,22591.466715090075
1493352000,65.06,68.9,65.61,68.75,20565.36248611001
1493348400,65.52,67.54,67.3,65.61,19075.718953590025
1493344800,66,68,67.45,67.3,29387.192871319996
1493341200,64.21,69.5,64.21,67.45,42980.65852329957
1493337600,63.23,64.3,63.65,64.3,14141.261596939852
