time,low,high,open,close,volume
1481670000,8.37,8.44,8.4,8.41,1922.197896990002
1481666400,8.38,8.44,8.41,8.39,1703.3781603100008
1481662800,8.39,8.45,8.44,8.4,830.54215664
1481659200,8.35,8.45,8.42,8.44,3784.018969999999
1481655600,8.42,8.49,8.48,8.42,3015.842920980003
1481652000,8.37,8.48,8.38,8.48,2791.7068660900027
1481648400,8.38,8.46,8.43,8.39,1981.4050946399998
1481644800,8.39,8.45,8.39,8.39,1155.0162069300004
1481641200,8.39,8.46,8.43,8.42,2149.869818409998
1481637600,8.38,8.47,8.43,8.43,1185.2051098700001
1481634000,8.36,8.47,8.41,8.44,1115.5129996799997
1481630400,8.39,8.45,8.39,8.41,716.0542285200003
1481626800,8.38,8.41,8.39,8.4,443.5043539999997
1481623200,8.35,8.42,8.37,8.41,303.42780652000016
1481619600,8.36,8.43,8.39,8.37,1282.8900031700014
1481616000,8.39,8.51,8.49,8.39,598.3581591699996
1481612400,8.41,8.52,8.5,8.49,2097.9356937500033
1481608800,8.47,8.5,8.48,8.5,540.7098026699992
1481605200,8.42,8.5,8.48,8.47,672.8370913499997
1481601600,8.47,8.52,8.47,8.49,394.25404999999995
1481598000,8.42,8.53,8.5,8.47,1804.1670415199992
1481594400,8.46,8.56,8.55,8.52,1305.6280239099997
1481590800,8.5,8.57,8.51,8.52,4388.252251990003
1481587200,8.5,8.57,8.53,8.5,1059.94752098
