time,low,high,open,close,volume
1494198000,90,95.49,92.53,93.82,25032.426478249992
1494194400,91.21,95,94.46,92.51,15557.220477420004
1494190800,94,96.4,96.22,94.43,8402.40224394
1494187200,95.71,96.77,96.31,96.35,6097.23461007
1494183600,96.18,96.83,96.52,96.4,4696.2495284500055
1494180000,96.34,96.99,96.47,96.65,7128.014521040011
1494176400,96.22,97.95,97.73,96.45,6230.064747340004
1494172800,96.32,97.73,96.56,97.73,5558.568155019997
1494169200,96.06,96.78,96.78,96.56,3832.6896174999924
1494165600,96.09,96.92,96.64,96.78,2950.8967838500043
1494162000,96.17,96.97,96.65,96.7,8830.462727490005
1494158400,95.83,97.29,95.88,96.65,4862.100626510011
1494154800,95.4,95.9,95.69,95.84,1596.1793792199974
1494151200,95.17,95.88,95.34,95.74,2672.9824041800025
1494147600,94.91,95.34,95.27,95.34,2459.7682738100048
1494144000,94.74,95.55,95.19,95.16,1674.8066991999992
1494140400,94.71,95.29,95.04,95.22,2245.1560248499964
1494136800,95.01,95.63,95.36,95.04,3010.394180530003
1494133200,94.92,95.55,95.05,95.2,2503.469392759994
1494129600,95.01,95.54,95.47,95.04,4711.593948439992
1494126000,94.92,95.7,95.19,95.49,7400.328675900007
1494122400,94.32,95.39,95,95.22,8520.637480119996
1494118800,94.51,95.33,95.08,94.89,4967.161946330008
1494115200,94.51,96.12,95.74,95.12,5550.454133370004
