time,low,high,open,close,volume
1487113200,12.95,14,13,13.14,22649.670244859946
1487109600,12.88,13.23,12.96,12.98,9199.55095403003
1487106000,12.86,13.05,12.9,12.96,4548.146393420005
1487102400,12.75,12.9,12.89,12.89,5308.766697009962
1487098800,12.77,13.19,13.13,12.9,25461.823925029665
1487095200,11.55,14.7,12.69,13.16,46970.46991812054
1487091600,12.56,12.77,12.75,12.7,15074.110184790125
1487088000,12.63,12.78,12.64,12.73,6843.616414080007
1487084400,12.59,12.71,12.64,12.63,9121.002087809968
1487080800,12.48,12.67,12.59,12.63,9556.314909750026
1487077200,12.43,12.58,12.43,12.58,9673.006629519998
1487073600,12.16,12.55,12.17,12.48,12253.132905320042
1487070000,12.17,12.2,12.19,12.17,2426.624076
1487066400,12.14,12.2,12.19,12.18,3474.2157077499987
1487062800,12.16,12.2,12.18,12.2,4021.537592999998
1487059200,12.01,12.19,12.04,12.18,2696.905200200002
1487055600,11.98,12.1,12.06,12.01,4552.985622610001
1487052000,12.02,12.17,12.08,12.06,3525.4293553099938
1487048400,11.89,12.12,11.93,12.12,7476.825988190041
1487044800,11.55,12.14,12.12,11.94,11646.166036349972
1487041200,11.55,12.2,11.61,12.12,21133.81035440991
1487037600,11.43,11.66,11.44,11.61,17892.649230810057
1487034000,11.39,11.47,11.44,11.44,3951.9782017299985
1487030400,11.42,11.45,11.42,11.44,887.6724561199997
