time,low,high,open,close,volume
1472079600,10.99,11.02,10.99,11.01,614.51316
1472076000,10.98,11.04,11.01,11.02,1192.06374
1472072400,11,11.07,11.03,11,1182.2513212600004
1472068800,11.01,11.06,11.05,11.04,782.0495640000003
1472065200,11.01,11.07,11.01,11.03,937.1724810000005
1472061600,11.01,11.07,11.05,11.01,1447.4678490000006
1472058000,11.05,11.1,11.08,11.06,1287.4456549999998
1472054400,11.04,11.1,11.04,11.08,564.1270724500004
1472050800,11.02,11.15,11.08,11.05,1592.2732253499992
1472047200,11.04,11.1,11.05,11.09,1170.9790581399996
1472043600,11.01,11.09,11.08,11.06,694.8293233099996
1472040000,11.06,11.12,11.09,11.09,383.02560899999975
1472036400,11.06,11.14,11.13,11.12,661.9103299999998
1472032800,11.05,11.15,11.05,11.13,1354.7820090000002
1472029200,11.05,11.08,11.08,11.08,36.724967
1472025600,11.07,11.1,11.07,11.07,447.8440719999999
1472022000,11.06,11.09,11.08,11.07,354.43680299999994
1472018400,11.04,11.09,11.04,11.06,1159.3945780000001
1472014800,11.03,11.1,11.07,11.08,1086.6183090000002
1472011200,11.01,11.07,11.05,11.07,707.119035
1472007600,11.02,11.1,11.08,11.06,1136.875513
1472004000,11.02,11.11,11.11,11.07,1167.3295604099999
1472000400,11.04,11.16,11.05,11.1,2726.6229125700024
1471996800,10.98,11.06,11,11.04,1340.2564788600007
