time,low,high,open,close,volume
1464390000,10.9,11.34,11.09,10.98,426.4792874600001
1464386400,11,11.24,11.05,11.06,195.23085154000006
1464382800,10.25,11.36,11.18,10.9,4844.653590449991
1464379200,11.15,11.24,11.24,11.16,225.83554973999998
1464375600,11.15,11.46,11.46,11.15,451.4545901699999
1464372000,11.12,11.5,11.46,11.26,650.9946515099999
1464368400,10.89,11.56,10.9,11.46,1485.11406366
1464364800,10.9,11.09,11,10.9,164.45726832999998
1464361200,11,11.46,11.46,11,432.38740956999993
1464357600,10.62,11.2,10.99,11.19,290.85402908000003
1464354000,10.5,11.59,10.99,10.84,1814.2447355799995
1464350400,10.69,10.99,10.86,10.69,376.56062025999995
1464346800,10.71,11.35,11.35,10.81,1220.0451211999998
1464343200,11.35,11.51,11.5,11.46,13.830465870000001
1464339600,11.35,11.7,11.67,11.35,193.8
1464336000,11.66,11.66,11.66,11.66,170.11962369
1464332400,11.5,11.67,11.5,11.5,0.37984593
1464328800,11.43,11.68,11.43,11.67,5.49249946
1464325200,11.32,11.69,11.48,11.69,296.05553326999996
1464321600,11.25,12.07,12.07,11.49,5093.2069395
1464318000,12.06,12.1,12.1,12.07,275.28759009
1464314400,12.06,12.36,12.11,12.06,274.46634274
1464310800,12.11,12.36,12.36,12.11,77.74456374
1464307200,12.15,12.47,12.47,12.15,356.10752717
