time,low,high,open,close,volume
1470524400,10.93,11.01,10.93,11.01,2089.582065
1470520800,10.83,10.93,10.83,10.93,557.8430253000002
1470517200,10.73,10.88,10.88,10.83,1617.7668280000003
1470513600,10.85,11,10.95,10.88,1575.9549802700021
1470510000,10.88,11.1,10.97,10.95,2384.0841330100006
1470506400,10.88,11.06,10.91,10.99,2118.35927327
1470502800,10.86,11.07,10.86,11,3337.9705118600004
1470499200,10.79,11.04,10.8,10.85,2313.676508999999
1470495600,10.59,10.97,10.67,10.8,897.4573244999993
1470492000,10.6,10.77,10.77,10.66,1239.4089870300002
1470488400,10.42,10.93,10.7,10.77,1777.5228711799996
1470484800,10.44,10.79,10.6,10.7,1648.3150132600001
1470481200,10.53,11,10.66,10.7,648.7070120000002
1470477600,10.55,10.95,10.8,10.7,885.1835950000007
1470474000,10.55,11.05,10.6,10.8,819.1877780699995
1470470400,10.53,11.09,10.71,10.66,2654.873068689994
1470466800,10.68,11.01,11.01,10.71,1075.1038198800004
1470463200,10.96,11.12,10.98,11.01,599.9935869999995
1470459600,10.95,11.16,11.08,11,1716.6772524200012
1470456000,11.03,11.11,11.05,11.08,779.4603429999999
1470452400,11.01,11.15,11.04,11.11,1288.9414131899996
1470448800,11.03,11.08,11.05,11.04,307.098855
1470445200,11.02,11.11,11.03,11.08,672.9877082499999
1470441600,11.02,11.18,11.18,11.02,1955.3882467199999
