time,low,high,open,close,volume
1489878000,30.7,34.21,32.31,33.64,48395.825208969836
1489874400,32.14,34.57,34.31,32.33,20874.36103542006
1489870800,32.5,34.74,34.43,34.31,35437.84617252993
1489867200,34.09,36.2,36.1,34.42,20258.023033430098
1489863600,35.31,36.67,35.86,36.29,17879.657035390097
1489860000,35.6,37.49,37.31,35.91,14680.62025721006
1489856400,36.14,37.97,37.58,37.49,20324.61635699025
1489852800,33.03,38.94,34.7,37.58,51318.932987409644
1489849200,31.25,36.99,36.15,34.5,75454.43287741819
1489845600,35.75,38.97,38.38,36.15,46027.14237158035
1489842000,38.35,40.27,39.75,38.53,13263.339691700043
1489838400,39.25,40.59,40.56,39.94,8657.383187260022
1489834800,39.58,40.64,39.98,40.56,5877.2471083899945
1489831200,39,40.19,39.55,39.98,8368.444274470015
1489827600,39.12,40.78,40.55,39.54,9160.20073332999
1489824000,37.96,40.6,38.83,40.59,11111.686198340021
1489820400,36,40.79,38.27,38.83,47278.77571087999
1489816800,38.12,41.22,41,38.21,21736.76042832002
1489813200,38.76,44,42.48,41.21,49160.28378179021
1489809600,42.18,43.84,43.67,42.48,7999.320169040017
1489806000,43.35,44.77,44.05,43.88,5579.732784180016
1489802400,42.59,44.5,43.17,44.06,8001.65608867001
1489798800,42.3,43.69,42.88,43.09,8077.136547840022
1489795200,42.25,45,44.62,42.78,15042.790354860035
