time,low,high,open,close,volume
1478214000,10.8,10.94,10.94,10.87,1460.9990894000005
1478210400,10.83,10.98,10.92,10.94,3673.767216279996
1478206800,10.87,10.97,10.96,10.92,2605.382496629998
1478203200,10.92,10.98,10.94,10.97,1281.5207618799984
1478199600,10.83,11,10.94,10.94,4007.5111499799964
1478196000,10.84,11.04,11,10.93,8619.809506190008
1478192400,10.98,11.09,11,11,2859.834477309999
1478188800,10.91,11.08,11.04,11,2763.614960309999
1478185200,10.95,11.08,11.02,11.03,3582.277746169999
1478181600,10.98,11.09,11.09,11.02,1505.0358575100006
1478178000,10.9,11.14,10.9,11.08,4245.863740399996
1478174400,10.87,10.98,10.96,10.89,421.77394432
1478170800,10.94,10.98,10.97,10.98,264.45803999999987
1478167200,10.89,10.97,10.95,10.97,783.8128259899995
1478163600,10.92,10.96,10.93,10.96,283.35894859
1478160000,10.88,10.93,10.88,10.92,517.1233899999999
1478156400,10.84,10.9,10.85,10.9,994.3556206400006
1478152800,10.8,10.85,10.84,10.84,1169.6097516499995
1478149200,10.83,10.89,10.88,10.84,920.1454303300002
1478145600,10.85,10.89,10.86,10.88,563.9049169100003
1478142000,10.83,10.9,10.86,10.86,3090.0159406300013
1478138400,10.82,10.9,10.86,10.85,2504.5548490000024
1478134800,10.81,10.91,10.89,10.85,1227.3885147699993
1478131200,10.77,10.93,10.82,10.86,1950.1989722099986
