time,low,high,open,close,volume
1478646000,10.82,10.89,10.85,10.84,4937.655540000006
1478642400,10.81,10.87,10.86,10.86,2230.9718102499996
1478638800,10.84,10.91,10.88,10.84,1518.5412829899983
1478635200,10.87,10.95,10.9,10.89,1826.2638267599982
1478631600,10.88,10.98,10.96,10.91,2712.67186868
1478628000,10.91,10.98,10.92,10.97,1563.6212536799987
1478624400,10.85,10.92,10.86,10.92,1907.462643
1478620800,10.82,10.88,10.82,10.86,1834.43773894
1478617200,10.81,10.85,10.83,10.82,3273.692087999999
1478613600,10.81,10.91,10.9,10.83,3951.1690378599974
1478610000,10.84,10.92,10.86,10.9,1687.8527209999997
1478606400,10.84,10.89,10.89,10.86,1693.4235969999995
1478602800,10.88,10.91,10.9,10.89,1029.08715633
1478599200,10.9,10.93,10.93,10.9,820.0269150000009
1478595600,10.93,10.94,10.94,10.93,249.60408399999994
1478592000,10.92,10.95,10.92,10.93,580.3702539999999
1478588400,10.91,10.96,10.96,10.93,861.7278379999998
1478584800,10.93,10.98,10.93,10.95,483.60605100000004
1478581200,10.92,10.97,10.97,10.92,1022.123883
1478577600,10.97,11.01,10.97,10.98,1562.8218174499968
1478574000,10.91,10.99,10.91,10.98,1679.4307052400006
1478570400,10.91,10.93,10.92,10.91,294.4752400000001
1478566800,10.9,10.94,10.92,10.91,1808.270867670001
1478563200,10.9,10.97,10.93,10.93,1896.6255729400013
