time,low,high,open,close,volume
1486162800,10.9,10.99,10.92,10.99,2323.2473006800024
1486159200,10.88,10.92,10.9,10.91,987.0511189999995
1486155600,10.87,10.91,10.88,10.89,2350.2857710000008
1486152000,10.87,10.89,10.89,10.89,1224.5777911699995
1486148400,10.87,10.89,10.87,10.88,2278.241477219999
1486144800,10.83,10.88,10.83,10.88,1774.1507999999988
1486141200,10.79,10.88,10.87,10.84,6221.183988739999
1486137600,10.84,10.89,10.87,10.88,2671.332039220002
1486134000,10.79,10.87,10.8,10.87,4019.9874468499956
1486130400,10.74,10.8,10.74,10.8,1342.1260907099995
1486126800,10.69,10.76,10.71,10.76,1168.3863609999985
1486123200,10.67,10.72,10.68,10.71,1521.8445324499987
1486119600,10.67,10.73,10.7,10.7,1787.3681099799992
1486116000,10.7,10.78,10.74,10.7,1007.3299849999989
1486112400,10.73,10.78,10.78,10.75,205.0253
1486108800,10.74,10.8,10.77,10.77,2171.137595540001
1486105200,10.71,10.78,10.73,10.78,1111.5829510000003
1486101600,10.7,10.78,10.75,10.73,2121.4734553700014
1486098000,10.69,10.77,10.76,10.75,3034.1651687400063
1486094400,10.75,10.82,10.8,10.75,2307.1936664900013
1486090800,10.79,10.82,10.8,10.81,1374.41104609
1486087200,10.78,10.83,10.79,10.81,1768.711573
1486083600,10.77,10.83,10.8,10.81,1754.8831489000004
1486080000,10.78,10.84,10.82,10.78,3171.24999804
