time,low,high,open,close,volume
1470956400,11.72,11.74,11.72,11.73,541.0046100000002
1470952800,11.71,11.75,11.72,11.73,1639.02316639
1470949200,11.61,11.73,11.67,11.72,3343.683096260001
1470945600,11.62,11.7,11.68,11.69,2588.8313986100006
1470942000,11.64,11.73,11.73,11.68,3561.628753899999
1470938400,11.69,11.79,11.75,11.73,1872.4958636799995
1470934800,11.73,11.82,11.82,11.76,1932.6818870799991
1470931200,11.81,11.91,11.87,11.82,1686.6587321799996
1470927600,11.74,12.03,11.96,11.87,3768.2728446599976
1470924000,11.87,11.99,11.87,11.98,3001.6816604400005
1470920400,11.73,11.99,11.78,11.87,3269.134614440001
1470916800,11.73,11.8,11.73,11.77,2466.08916
1470913200,11.7,11.75,11.71,11.74,833.0548464100002
1470909600,11.6,11.76,11.76,11.71,1896.75508033
1470906000,11.61,11.95,11.94,11.75,4255.344581029996
1470902400,11.94,12.06,12.03,11.94,2427.5424030000013
1470898800,12.03,12.07,12.06,12.03,2142.153625
1470895200,12.06,12.1,12.1,12.07,1335.5706660000003
1470891600,12.06,12.17,12.17,12.1,2015.8383260000007
1470888000,12.16,12.39,12.22,12.17,3112.6867765000043
1470884400,12.22,12.31,12.3,12.22,2268.308570839999
1470880800,12.26,12.3,12.26,12.3,1043.1129214799996
1470877200,12.25,12.36,12.31,12.27,2136.6065642199997
1470873600,12.18,12.32,12.22,12.3,1788.725475159999
