time,low,high,open,close,volume
1477954800,10.94,11.1,11.06,10.98,751.995282950001
1477951200,10.94,11.09,10.96,11.09,930.6592349499999
1477947600,10.91,11,10.94,10.98,1232.1202599999988
1477944000,10.9,10.98,10.93,10.94,1659.1094869999997
1477940400,10.85,10.99,10.99,10.94,3746.4759084799944
1477936800,10.91,11.06,11.06,10.99,2280.051217350001
1477933200,11.01,11.11,11.06,11.06,1651.9048674499973
1477929600,11.05,11.21,11.17,11.06,1275.990572650001
1477926000,11.11,11.2,11.18,11.19,1209.487871559999
1477922400,11.05,11.3,11.3,11.17,3102.3473425400057
1477918800,11.3,11.38,11.37,11.3,1455.00153295
1477915200,11.3,11.4,11.34,11.37,1083.329561
1477911600,11.28,11.36,11.35,11.34,282.52689769999995
1477908000,11.27,11.37,11.36,11.37,607.8068589000002
1477904400,11.22,11.36,11.28,11.35,237.8789715
1477900800,11.28,11.38,11.37,11.28,463.3643819800001
1477897200,11.27,11.38,11.27,11.35,822.4601513200004
1477893600,11.16,11.27,11.16,11.27,295.147402
1477890000,11.11,11.27,11.26,11.13,1221.7184074300008
1477886400,11.26,11.38,11.35,11.26,660.7486885899999
1477882800,11.33,11.44,11.37,11.35,1953.3156310400004
1477879200,11.09,11.37,11.13,11.34,2939.9685372700096
1477875600,11,11.16,11.11,11.09,2360.056560849999
1477872000,11,11.2,11.2,11.12,2350.1179556999996
