time,low,high,open,close,volume
1470006000,11.83,12.13,12.05,11.99,3395.760924880005
1470002400,12.05,12.3,12.17,12.12,2557.5950457299996
1469998800,11.85,12.26,11.86,12.22,4726.376449699997
1469995200,11.74,11.96,11.87,11.86,2654.423640159999
1469991600,11.82,12.08,11.96,11.82,1896.8913510000016
1469988000,11.82,12.09,11.99,11.96,2294.1896262200003
1469984400,11.8,12.1,11.96,11.99,2765.913942670005
1469980800,11.64,11.96,11.7,11.96,3809.3176432199916
1469977200,11.61,12.17,11.98,11.74,6126.278418219994
1469973600,11.98,12.37,12.3,11.98,9315.47856098001
1469970000,12.3,12.52,12.42,12.3,1202.547483
1469966400,12.27,12.46,12.45,12.4,1055.8109228900005
1469962800,12.37,12.6,12.37,12.45,989.1894270000005
1469959200,12.32,12.56,12.51,12.37,519.8299009999996
1469955600,12.42,12.56,12.48,12.51,419.82751599999983
1469952000,12.46,12.5,12.49,12.5,80.01924
1469948400,12.46,12.49,12.49,12.46,379.42702656000006
1469944800,12.44,12.5,12.49,12.49,346.92629400000004
1469941200,12.42,12.5,12.45,12.49,929.7325777700001
1469937600,12.29,12.47,12.44,12.45,4647.14016561
1469934000,12.41,12.55,12.42,12.46,1971.3923210000025
1469930400,12.4,12.56,12.56,12.47,1246.9770260000012
1469926800,12.45,12.63,12.55,12.61,1926.5870041000003
1469923200,12.46,12.67,12.49,12.5,1918.3922793400006
