time,low,high,open,close,volume
1490223600,40.9,41.46,40.9,41.37,9135.951628190049
1490220000,40.23,40.97,40.78,40.9,6609.174993949994
1490216400,40.29,40.98,40.3,40.78,9281.867941030008
1490212800,40.05,40.85,40.8,40.3,5482.121345329995
1490209200,40.52,41.57,40.6,40.81,17627.11302813999
1490205600,39.31,40.65,39.38,40.64,17782.869624649946
1490202000,39.2,39.59,39.26,39.33,5300.627528950013
1490198400,38.28,39.31,38.76,39.2,8491.946772140007
1490194800,38.26,39.52,39.42,38.83,16560.86990001006
1490191200,38.81,39.79,39.64,39.5,14384.92591761005
1490187600,39.55,41.15,39.63,39.59,11588.43698539006
1490184000,38.5,39.97,39.44,39.67,21935.86093544003
1490180400,39.28,40.96,40.67,39.28,12729.14090182006
1490176800,40.05,41.6,41.57,40.68,10607.08612235998
1490173200,41.07,41.64,41.11,41.56,3129.1133833299973
1490169600,41.09,41.89,41.47,41.12,5052.790540020008
1490166000,41.4,42.21,42.09,41.4,3372.3610236599934
1490162400,41.99,42.38,42.16,42.11,2067.2032086599993
1490158800,41.9,42.56,42.28,42.23,3922.489223079998
1490155200,41.84,42.48,42.36,42.28,2720.351985239998
1490151600,41.37,42.59,42.3,42.37,10782.454470220033
1490148000,42.02,42.42,42.24,42.2,3440.319718389999
1490144400,41.54,42.32,41.91,42.24,6311.985868860009
1490140800,41.9,42.48,42.39,41.9,6860.751038770002
