time,low,high,open,close,volume
1498604400,270.87,288.51,278.13,287.23,42695.35356039877
1498600800,257.3,280,260.72,279,40750.10075637037
1498597200,256.45,267.47,265.7,260.72,37687.477860569445
1498593600,248.13,267,252.17,265.71,33600.14994986903
1498590000,239.26,254.99,239.45,252.15,43790.805790800594
1498586400,227.31,239.67,234.32,239.67,21915.22619157977
1498582800,220.32,234.49,224.55,234.32,17022.584105960097
1498579200,220,229.78,228.72,224.55,17799.555356210105
1498575600,217,228.75,218.46,228.62,25184.865940109747
1498572000,211,229,219.02,218.46,35113.7220685298
1498568400,217,230,228.94,219.1,16526.578690280105
1498564800,225.22,235.02,233.06,228.1,14013.502585800119
1498561200,233,239.94,238.42,233.05,8967.164453820082
1498557600,237.01,245.02,239.75,238.46,3346.2203585600623
1498554000,233.21,245.01,238.12,240.5,4483.461215600045
1498550400,233.1,244.85,234.61,238.22,5143.238552340063
1498546800,231.04,239,238.98,234.98,11198.861350720086
1498543200,235.24,250.29,250.22,239.06,14704.154825380127
1498539600,250,253.99,252.89,250.22,4970.924711620119
1498536000,245.09,257.13,256.29,252.64,11288.90578705018
1498532400,252.08,257.6,256.5,256.29,11638.657886790032
1498528800,250,257,251.23,256.55,11252.832262960155
1498525200,246.17,251.99,249.7,251.23,12181.136062750322
1498521600,242.27,254,252.97,249.7,24021.871116529936
