time,low,high,open,close,volume
1482102000,7.89,7.95,7.93,7.92,1172.3486219999998
1482098400,7.91,7.97,7.96,7.95,1058.0489636
1482094800,7.93,7.97,7.94,7.96,1317.9917600000003
1482091200,7.92,7.94,7.93,7.94,919.037971
1482087600,7.87,7.93,7.88,7.93,824.7617357299998
1482084000,7.88,7.9,7.89,7.88,366.95286799999997
1482080400,7.88,7.9,7.88,7.88,391.45694421
1482076800,7.87,7.92,7.89,7.9,1984.8620017099997
1482073200,7.87,7.92,7.87,7.91,463.22259
1482069600,7.86,7.91,7.86,7.88,963.7752049999998
1482066000,7.83,7.89,7.86,7.86,498.09397241000005
1482062400,7.76,7.86,7.79,7.86,211.942608
1482058800,7.74,7.82,7.8,7.8,254.60921999999997
1482055200,7.75,7.82,7.82,7.81,675.60618
1482051600,7.71,7.82,7.71,7.81,84.27262999999998
1482048000,7.69,7.84,7.84,7.7,1258.9389059999992
1482044400,7.83,7.9,7.89,7.83,414.93203500000004
1482040800,7.85,7.91,7.87,7.9,1403.955935
1482037200,7.82,7.88,7.87,7.87,691.2761330000001
1482033600,7.8,7.91,7.91,7.85,1725.0286999999996
1482030000,7.87,7.91,7.87,7.9,809.0339100000001
1482026400,7.83,7.89,7.84,7.88,488.59617999999995
1482022800,7.76,7.87,7.76,7.83,941.2016540000002
1482019200,7.74,7.9,7.84,7.75,2321.13411493
