time,low,high,open,close,volume
1500159600,167,176,174.49,167.72,32336.961162069805
1500156000,173.5,177.05,176.17,174.48,15422.67199646003
1500152400,175.05,178.12,175.51,176.18,10333.208075130002
1500148800,175.51,181.21,181.19,175.51,14454.746930730042
1500145200,179.28,181.2,179.32,181.2,8096.2881672300055
1500141600,179.05,183.2,182.49,179.32,6882.705959450001
1500138000,178.2,184,180.52,182.49,11625.901365360043
1500134400,177.11,182,178.82,180.52,11845.780531680053
1500130800,176.35,180.27,180.26,178.82,22395.279174379946
1500127200,178,184,181.52,180.26,24246.76286103997
1500123600,181.34,189,183.33,181.54,9797.221488180028
1500120000,181.16,185.5,185.5,183.32,10572.194351200022
1500116400,185.05,188.01,187.56,185.5,5101.72235705
1500112800,185.22,190.86,185.87,187.6,5929.461648320021
1500109200,185,190,185.96,185.88,6373.5094807100195
1500105600,185.96,189,187.13,185.96,4059.9240807200167
1500102000,186.6,189.44,189.3,187.51,3054.214064090004
1500098400,187,190.74,188.36,189.3,7523.253978710012
1500094800,188,191.81,191.4,188.36,7761.364919720046
1500091200,188.96,193.36,188.97,191.4,7631.546691390017
1500087600,188.8,195.86,189.68,189,12123.950181870052
1500084000,188.29,193.16,192.73,190.1,10824.113390660015
1500080400,191.25,198.59,197.54,192.72,7843.697778920008
1500076800,196.44,198.97,197.23,197.54,5153.8967354599945
