time,low,high,open,close,volume
1468969200,11.69,11.84,11.75,11.75,225.85594904000007
1468965600,11.73,11.85,11.84,11.74,352.04964900000004
1468962000,11.8,11.93,11.83,11.89,562.7046172000001
1468958400,11.57,11.82,11.68,11.8,217.01808923999997
1468954800,11.44,11.98,11.44,11.68,2876.98210187
1468951200,11.11,11.44,11.21,11.44,388.5696590000008
1468947600,11.08,11.22,11.21,11.22,973.5412640000001
1468944000,11.19,11.25,11.19,11.22,88.62389524
1468940400,11.2,11.25,11.2,11.25,17.01194
1468936800,11.23,11.27,11.23,11.27,100.01098
1468933200,11.16,11.16,11.16,11.16,2.0114
1468929600,11.15,11.28,11.2,11.16,61.44692795000001
1468926000,11.2,11.26,11.26,11.2,451.663433
1468922400,11.25,11.39,11.3,11.39,2.11474
1468918800,11.35,11.4,11.4,11.35,0.07056
1468915200,11.41,11.41,11.41,11.41,0.01056
1468911600,11.28,11.42,11.42,11.28,204.82853874999998
1468908000,11.21,11.44,11.44,11.44,161.14563822
1468904400,11.27,11.44,11.27,11.4,134.23288913
1468900800,11.17,11.27,11.17,11.27,252.94194099000003
1468897200,11.16,11.17,11.17,11.17,522.16119365
1468893600,11.16,11.18,11.17,11.17,26.6096164
1468890000,11.13,11.17,11.13,11.17,100.25704799999998
1468886400,11.07,11.2,11.08,11.13,126.12141940000001
