time,low,high,open,close,volume
1487631600,12.56,12.9,12.87,12.61,22470.446014280034
1487628000,12.87,12.91,12.88,12.88,3560.1352625199997
1487624400,12.88,12.89,12.89,12.89,1223.7265800000002
1487620800,12.86,12.9,12.87,12.89,2356.9011291
1487617200,12.85,12.92,12.9,12.87,2701.6839366999952
1487613600,12.89,12.94,12.92,12.91,1678.4625730000007
1487610000,12.88,12.94,12.93,12.92,3989.985885279998
1487606400,12.88,12.93,12.88,12.93,1973.6994141900004
1487602800,12.86,12.9,12.86,12.9,1652.0935734099994
1487599200,12.83,12.88,12.84,12.87,1565.9288090000002
1487595600,12.82,12.87,12.83,12.85,1161.2730640000004
1487592000,12.82,12.91,12.85,12.82,4027.731099779999
1487588400,12.83,12.86,12.84,12.84,666.7878000000002
1487584800,12.83,12.88,12.83,12.86,718.2015996199998
1487581200,12.82,12.87,12.83,12.84,1019.6524101200001
1487577600,12.79,12.88,12.88,12.84,5537.668524029999
1487574000,12.87,12.92,12.89,12.89,1482.3431919999991
1487570400,12.88,12.91,12.91,12.89,1991.7934755699998
1487566800,12.9,12.94,12.93,12.91,1102.6280875099992
1487563200,12.91,12.95,12.92,12.94,1798.6622938099995
1487559600,12.89,12.92,12.92,12.91,746.7037389399999
1487556000,12.86,12.92,12.87,12.91,2010.4644916599993
1487552400,12.86,12.9,12.88,12.87,2311.3345539999987
1487548800,12.88,12.91,12.9,12.89,2934.736306169999
