time,low,high,open,close,volume
1486854000,11.46,11.52,11.47,11.52,1015.1720921200003
1486850400,11.46,11.49,11.48,11.46,907.8013460000002
1486846800,11.43,11.5,11.44,11.49,1608.6641721500027
1486843200,11.41,11.48,11.43,11.43,1298.1321227400015
1486839600,11.42,11.5,11.49,11.43,1221.608010169999
1486836000,11.43,11.5,11.46,11.48,2468.299892999999
1486832400,11.37,11.47,11.37,11.46,2643.343532210015
1486828800,11.35,11.42,11.39,11.39,1059.2115923299987
1486825200,11.34,11.41,11.39,11.39,1698.1173337700002
1486821600,11.34,11.43,11.39,11.39,4417.09226686
1486818000,11.34,11.41,11.38,11.38,1200.5503550600001
1486814400,11.38,11.43,11.43,11.39,785.6024353200005
1486810800,11.42,11.5,11.5,11.43,925.2630344
1486807200,11.47,11.5,11.47,11.5,1081.572612229999
1486803600,11.43,11.48,11.43,11.48,857.4213272799981
1486800000,11.42,11.45,11.42,11.44,659.4073439999996
1486796400,11.37,11.42,11.39,11.42,575.88293941
1486792800,11.38,11.42,11.41,11.38,995.4184999999998
1486789200,11.34,11.42,11.34,11.41,778.0111
1486785600,11.34,11.44,11.39,11.35,1243.7560603100003
1486782000,11.36,11.47,11.47,11.39,2122.6751897800004
1486778400,11.41,11.48,11.42,11.46,1177.205780289998
1486774800,11.4,11.48,11.42,11.43,2703.1370222599994
1486771200,11.38,11.44,11.44,11.43,1836.659213999998
