time,low,high,open,close,volume
1497654000,349.43,354.32,349.43,354.26,5516.4107431999955
1497650400,347,353.5,351.12,349.43,6931.793154169997
1497646800,347.2,353,352.8,351.12,9029.520368809992
1497643200,351.54,357,356.83,352.85,5454.685435829999
1497639600,351,356.9,352.53,356.9,10343.231873049997
1497636000,350.9,358,355.79,352.59,9141.916535410046
1497632400,355.38,359,356.74,355.79,7634.838513770006
1497628800,352.09,359.17,352.39,356.73,11537.756715560034
1497625200,348.53,354.67,352.85,352.04,7672.330883180007
1497621600,347.4,354,351.12,352.84,13192.942719590003
1497618000,341.01,351.99,342.95,351.03,10673.771108449992
1497614400,342.1,358.49,351.8,342.15,10245.280354180015
1497610800,343.03,364,358.22,351.81,17677.510865590033
1497607200,349.96,358.25,349.97,358.25,9843.559339700018
1497603600,347.99,349.99,348.46,349.97,9575.542831769993
1497600000,342.61,348.53,342.68,348.53,5732.068184040024
1497596400,341.62,348.99,347.87,342.69,9240.570665700026
1497592800,336.76,348.18,337.95,347.85,8294.299725930056
1497589200,335,339.01,338.25,337.99,6835.074401620027
1497585600,331.27,341.99,331.47,338.06,10516.061559050038
1497582000,321.03,337,324,331.47,14178.430077040011
1497578400,314,324.76,315.07,324,15640.43694354012
1497574800,315.01,336.91,330.56,315.05,17169.450711880138
1497571200,322.15,343.71,343.71,330.74,24233.45534366955
